c_personid,Rank,Friend,Enemy,Lindex,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_ey_nh_code,c_fl_latest_year,c_choronym_code,LU,c_entry_code,Longitude,Latitude,RankD,Rank9
51600,8,0,0,1127,1127,0,0,0,0,0,0,0,13867,36,119.381439,25.727917,16,8
38859,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8
97820,4.5,0,0,1172,0,0,0,0,1202,0,1203,0,0,0,0,0,9,4
425915,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9
413184,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
39629,5.5,0,0,1158,1158,0,0,0,0,0,0,0,0,0,0,0,11,5
21396,8.5,0,0,1100,1100,0,0,0,1068,528,0,0,13284,36,103.831459,30.050497,17,8
7042,2.5,68.82161885,0,1036,1036,0,0,0,985,509,1023,28,11027,36,114.34333,34.785477,5,2
1162,6,76.50085557,0,1142,1142,0,0,0,1142,541,0,0,13867,118,118.18219,26.171848,12,6
1251,3,71.31281785,0,1027,1027,968,1029,62,0,0,0,48,11371,165,112.38263,34.665276,6,3
49503,8.5,0,0,1245,1245,1186,1253,68,0,0,0,0,12753,29,119.649918,29.104712,17,8
